(-3.39, -20.64, 39.20),(-67.90, -101.60, 107.90)
(-2.71, -20.96, 40.63),(-67.20, -101.90, 109.30)
(-3.20, -21.24, 39.92),(-67.70, -102.20, 108.60)
(-3.61, -20.76, 41.46),(-68.10, -101.70, 110.10)
(-3.41, -20.56, 40.74),(-67.90, -101.50, 109.40)
(-2.80, -20.85, 39.71),(-67.30, -101.80, 108.40)
(-2.93, -20.97, 42.48),(-67.40, -101.90, 111.10)
(-2.62, -19.88, 40.93),(-67.10, -100.80, 109.60)
(-1.53, -19.69, 40.92),(-66.00, -100.60, 109.60)
(-0.64, -19.50, 40.19),(-65.10, -100.40, 108.90)
(0.65, -19.41, 40.90),(-63.80, -100.30, 109.60)
(1.94, -19.13, 40.37),(-62.50, -100.00, 109.10)
(2.94, -18.83, 39.23),(-61.50, -99.70, 108.00)
(3.51, -18.36, 41.37),(-60.90, -99.20, 110.10)
(4.39, -17.19, 41.46),(-60.00, -98.00, 110.20)
(5.57, -17.60, 42.78),(-58.80, -98.40, 111.50)
(5.59, -17.19, 40.73),(-58.80, -98.00, 109.50)
(7.44, -15.26, 42.43),(-56.90, -96.00, 111.20)
(9.35, -15.05, 39.75),(-55.00, -95.80, 108.60)
(10.51, -13.80, 41.78),(-53.80, -94.50, 110.60)
(9.11, -13.01, 42.09),(-55.20, -93.70, 110.90)
(8.50, -10.94, 42.39),(-55.80, -91.60, 111.20)
(9.85, -8.91, 44.82),(-54.40, -89.50, 113.60)
(11.17, -9.18, 41.11),(-53.10, -89.80, 110.00)
(13.45, -8.51, 41.29),(-50.80, -89.10, 110.20)
(16.11, -6.67, 41.66),(-48.10, -87.20, 110.60)
(15.98, -4.12, 42.15),(-48.20, -84.60, 111.10)
(16.46, -2.16, 42.02),(-47.70, -82.60, 111.00)
(15.46, -0.08, 41.71),(-48.70, -80.50, 110.70)
(16.05, 0.50, 41.70),(-48.10, -79.90, 110.70)
(16.26, -0.48, 41.19),(-47.90, -80.90, 110.20)
(15.84, 2.38, 40.76),(-48.30, -78.00, 109.80)
(16.82, 6.12, 39.18),(-47.30, -74.20, 108.30)
(16.92, 6.81, 38.97),(-47.20, -73.50, 108.10)
(16.50, 7.19, 40.30),(-47.60, -73.10, 109.40)
(15.68, 9.55, 41.52),(-48.40, -70.70, 110.60)
(13.98, 11.62, 41.41),(-50.10, -68.60, 110.50)
(12.57, 15.18, 40.27),(-51.50, -65.00, 109.40)
(9.88, 16.98, 39.87),(-54.20, -63.20, 109.00)
(9.77, 17.66, 40.89),(-54.30, -62.50, 110.00)
(7.98, 17.47, 40.91),(-56.10, -62.70, 110.00)
(6.28, 18.86, 41.94),(-57.80, -61.30, 111.00)
(6.29, 19.96, 39.46),(-57.80, -60.20, 108.60)
(2.60, 21.85, 39.69),(-61.50, -58.30, 108.80)
(0.93, 22.67, 37.64),(-63.20, -57.50, 106.80)
(-1.55, 22.88, 37.97),(-65.70, -57.30, 107.10)
(-3.94, 23.69, 37.99),(-68.10, -56.50, 107.10)
(-7.91, 21.84, 39.48),(-72.10, -58.40, 108.50)
(-9.08, 18.70, 40.44),(-73.30, -61.60, 109.40)
(-11.96, 17.13, 41.92),(-76.20, -63.20, 110.80)
(-11.15, 15.17, 41.62),(-75.40, -65.20, 110.50)
(-11.05, 15.75, 41.72),(-75.30, -64.60, 110.60)
(-12.64, 17.05, 41.01),(-76.90, -63.30, 109.90)
(-15.43, 16.18, 42.48),(-79.70, -64.20, 111.30)
(-17.47, 14.55, 39.43),(-81.80, -65.90, 108.30)
(-18.07, 12.47, 41.51),(-82.40, -68.00, 110.30)
(-16.07, 12.56, 40.57),(-80.40, -67.90, 109.40)
(-14.21, 11.64, 43.12),(-78.50, -68.80, 111.90)
(-16.37, 11.47, 41.71),(-80.70, -69.00, 110.50)
(-17.45, 8.82, 42.77),(-81.80, -71.70, 111.50)
(-19.20, 4.90, 42.61),(-83.60, -75.70, 111.30)
(-20.17, 2.36, 42.24),(-84.60, -78.30, 110.90)
(-20.37, 2.75, 42.34),(-84.80, -77.90, 111.00)
(-21.17, 2.56, 42.35),(-85.60, -78.10, 111.00)
(-23.94, 0.71, 43.31),(-88.40, -80.00, 111.90)
(-24.00, -1.33, 41.08),(-88.50, -82.10, 109.70)
(-24.78, -3.39, 41.31),(-89.30, -84.20, 109.90)
(-24.46, -5.35, 40.40),(-89.00, -86.20, 109.00)
(-23.84, -7.81, 39.80),(-88.40, -88.70, 108.40)
(-24.35, -8.32, 42.48),(-88.90, -89.20, 111.00)
(-22.34, -10.49, 41.04),(-86.90, -91.40, 109.60)
(-23.01, -11.84, 39.31),(-87.60, -92.80, 107.90)
(-20.12, -13.64, 39.81),(-84.70, -94.60, 108.40)
(-18.63, -14.44, 40.83),(-83.20, -95.40, 109.40)
(-17.91, -15.22, 38.68),(-82.50, -96.20, 107.30)
(-17.62, -16.41, 40.43),(-82.20, -97.40, 109.00)
(-16.96, -14.66, 41.74),(-81.50, -95.60, 110.30)
(-16.84, -15.94, 41.24),(-81.40, -96.90, 109.80)
(-15.96, -14.57, 41.12),(-80.50, -95.50, 109.70)
(-15.36, -14.76, 40.80),(-79.90, -95.70, 109.40)
(-14.38, -14.59, 42.23),(-78.90, -95.50, 110.80)
(-12.98, -15.57, 41.20),(-77.50, -96.50, 109.80)
(-13.26, -17.34, 41.63),(-77.80, -98.30, 110.20)
(-11.67, -18.15, 42.03),(-76.20, -99.10, 110.60)
(-9.05, -21.29, 39.98),(-73.60, -102.30, 108.60)
(-7.71, -23.74, 36.91),(-72.30, -104.80, 105.60)
(-10.26, -27.84, 36.97),(-74.90, -109.00, 105.60)
(-10.93, -33.96, 29.34),(-75.70, -115.30, 98.10)
(-9.90, -37.50, 28.03),(-74.70, -118.90, 96.80)
(-8.41, -41.58, 21.28),(-73.30, -123.10, 90.20)
(-5.45, -44.99, 14.72),(-70.40, -126.60, 83.80)
(-3.12, -47.54, 1.59),(-68.20, -129.30, 71.00)
(-2.94, -47.87, -7.03),(-68.10, -129.70, 62.60)
(-2.29, -46.83, -14.12),(-67.50, -128.70, 55.70)
(-2.58, -45.63, -16.08),(-67.80, -127.50, 53.80)
(-3.33, -43.91, -21.63),(-68.60, -125.80, 48.40)
(-2.82, -44.39, -23.27),(-68.10, -126.30, 46.80)
(-2.62, -44.49, -23.17),(-67.90, -126.40, 46.90)
(-3.44, -44.61, -19.77),(-68.70, -126.50, 50.20)
(-1.97, -44.33, -18.66),(-67.20, -126.20, 51.30)
(-0.38, -44.64, -18.47),(-65.60, -126.50, 51.50)
(1.62, -45.54, -18.99),(-63.60, -127.40, 51.00)
(2.68, -45.67, -16.44),(-62.50, -127.50, 53.50)
(3.18, -45.68, -16.03),(-62.00, -127.50, 53.90)
(3.17, -46.48, -14.28),(-62.00, -128.30, 55.60)
(4.75, -46.49, -13.68),(-60.40, -128.30, 56.20)
(6.31, -45.64, -11.76),(-58.80, -127.40, 58.10)
(7.09, -45.76, -9.91),(-58.00, -127.50, 59.90)
(8.07, -45.97, -9.00),(-57.00, -127.70, 60.80)
(7.07, -47.26, -6.82),(-58.00, -129.00, 62.90)
(8.46, -47.56, -7.04),(-56.60, -129.30, 62.70)
(8.02, -46.91, -2.84),(-57.00, -128.60, 66.80)
(8.17, -46.46, 2.08),(-56.80, -128.10, 71.60)
(9.29, -47.44, 0.34),(-55.70, -129.10, 69.90)
(9.55, -46.98, 3.92),(-55.40, -128.60, 73.40)
(9.42, -45.22, 5.14),(-55.50, -126.80, 74.60)
(8.22, -46.90, 7.83),(-56.70, -128.50, 77.20)
(7.42, -46.41, 8.35),(-57.50, -128.00, 77.70)
(6.23, -46.69, 8.16),(-58.70, -128.30, 77.50)
(4.12, -46.50, 10.74),(-60.80, -128.10, 80.00)
(4.21, -46.51, 11.97),(-60.70, -128.10, 81.20)
(3.88, -45.55, 14.94),(-61.00, -127.10, 84.10)
(2.37, -45.36, 16.39),(-62.50, -126.90, 85.50)
(-0.67, -46.60, 14.79),(-65.60, -128.20, 83.90)
(-3.15, -46.87, 14.61),(-68.10, -128.50, 83.70)
(-6.76, -45.49, 17.81),(-71.70, -127.10, 86.80)
(-7.17, -45.40, 18.94),(-72.10, -127.00, 87.90)
(-9.66, -43.81, 18.85),(-74.60, -125.40, 87.80)
(-11.62, -44.86, 17.44),(-76.60, -126.50, 86.40)
(-12.59, -44.93, 14.58),(-77.60, -126.60, 83.60)
(-12.48, -46.11, 15.10),(-77.50, -127.80, 84.10)
(-14.46, -44.70, 12.85),(-79.50, -126.40, 81.90)
(-16.01, -46.34, 10.83),(-81.10, -128.10, 79.90)
(-17.97, -45.90, 7.46),(-83.10, -127.70, 76.60)
(-20.71, -46.35, 4.62),(-85.90, -128.20, 73.80)
(-20.33, -45.18, 5.22),(-85.50, -127.00, 74.40)
(-19.61, -45.85, 2.76),(-84.80, -127.70, 72.00)
(-18.24, -46.57, 5.62),(-83.40, -128.40, 74.80)
(-18.83, -46.46, 4.60),(-84.00, -128.30, 73.80)
(-18.22, -47.15, 4.09),(-83.40, -129.00, 73.30)
(-19.57, -46.41, -0.73),(-84.80, -128.30, 68.60)
(-18.95, -46.88, -3.50),(-84.20, -128.80, 65.90)
(-18.26, -46.60, -2.99),(-83.50, -128.50, 66.40)
(-19.30, -46.53, 1.94),(-84.50, -128.40, 71.20)
(-19.42, -46.55, 4.20),(-84.60, -128.40, 73.40)
(-17.74, -46.96, 4.90),(-82.90, -128.80, 74.10)
(-19.81, -46.15, 3.48),(-85.00, -128.00, 72.70)
(-20.53, -45.07, 4.61),(-85.70, -126.90, 73.80)
(-19.10, -46.34, 2.14),(-84.30, -128.20, 71.40)
(-18.20, -46.83, 1.11),(-83.40, -128.70, 70.40)
(-17.81, -46.45, 2.03),(-83.00, -128.30, 71.30)
(-18.28, -47.11, -0.53),(-83.50, -129.00, 68.80)
(-18.06, -46.60, -2.79),(-83.30, -128.50, 66.60)
(-19.62, -45.37, -7.10),(-84.90, -127.30, 62.40)
(-20.17, -45.92, -11.39),(-85.50, -127.90, 58.20)
(-17.85, -46.49, -15.51),(-83.20, -128.50, 54.20)
(-15.17, -44.73, -17.30),(-80.50, -126.70, 52.50)
(-14.56, -44.63, -18.54),(-79.90, -126.60, 51.30)
(-15.13, -44.00, -22.33),(-80.50, -126.00, 47.60)
(-14.65, -43.62, -21.01),(-80.00, -125.60, 48.90)
(-13.53, -43.81, -23.17),(-78.90, -125.80, 46.80)
(-12.56, -42.64, -22.58),(-77.90, -124.60, 47.40)
(-11.26, -43.84, -22.37),(-76.60, -125.80, 47.60)
(-9.87, -43.55, -22.80),(-75.20, -125.50, 47.20)
(-8.58, -43.66, -22.19),(-73.90, -125.60, 47.80)
(-6.59, -45.05, -22.61),(-71.90, -127.00, 47.40)
(-6.24, -45.59, -17.17),(-71.50, -127.50, 52.70)
(-4.57, -45.92, -14.21),(-69.80, -127.80, 55.60)
(-2.32, -47.95, -9.09),(-67.50, -129.80, 60.60)
(3.08, -49.33, -2.77),(-62.00, -131.10, 66.80)
(4.39, -47.03, 3.77),(-60.60, -128.70, 73.20)
(4.90, -44.94, 11.13),(-60.00, -126.50, 80.40)
